Time [s],Value,Parity Error,Framing Error
4.570308833333334,COMMA,,
4.571350333333333,COMMA,,
4.572391833333334,COMMA,,
4.573433375000000,COMMA,,
4.574474875000000,COMMA,,
4.575516416666667,COMMA,,
4.576557916666666,COMMA,,
4.577787750000000,*,,
4.578829250000000,1,,
4.579870791666667,E,,
4.580912291666666,\r,,
4.581953833333333,\n,,
4.582995333333334,$,,
4.584036875000000,G,,
4.585078375000000,P,,
4.586119916666667,R,,
4.587161416666667,M,,
4.588202916666667,C,,
4.589244458333333,COMMA,,
4.590285958333333,0,,
4.591327500000000,0,,
4.592369000000000,2,,
4.593410541666667,2,,
4.594706000000000,4,,
4.595747500000000,3,,
4.596789041666667,.,,
4.597830541666666,7,,
4.598872041666667,9,,
4.599913583333334,9,,
4.600955083333333,COMMA,,
4.601996625000000,V,,
4.603038125000000,COMMA,,
4.604079666666666,COMMA,,
4.605121166666667,COMMA,,
4.606162708333334,COMMA,,
4.607204208333333,COMMA,,
4.608245750000000,0,,
4.609287250000000,.,,
4.610328791666666,0,,
4.611558583333333,0,,
4.612600125000000,COMMA,,
4.613641625000000,0,,
4.614683125000000,.,,
4.615724666666667,0,,
4.616766166666666,0,,
4.617807708333333,COMMA,,
4.618849208333334,0,,
4.619890750000000,6,,
4.620932250000000,0,,
4.621973791666667,1,,
4.623015291666666,8,,
4.624056833333333,0,,
4.625098333333334,COMMA,,
4.626139875000000,COMMA,,
4.627181375000000,COMMA,,
4.628411250000000,N,,
4.629452791666667,*,,
4.630494291666666,4,,
4.631535791666667,2,,
4.632577333333334,\r,,
4.633618833333333,\n,,
4.634660375000000,$,,
4.635701875000000,G,,
4.636743416666667,P,,
4.637784916666667,V,,
4.638826458333333,T,,
4.639867958333333,G,,
4.640909500000000,COMMA,,
4.641951000000000,0,,
4.642992541666667,.,,
4.644034041666667,0,,
4.645263875000000,0,,
4.646305375000000,COMMA,,
4.647346875000000,T,,
4.648388416666666,COMMA,,
4.649429916666667,COMMA,,
4.650471458333334,M,,
4.651512958333333,COMMA,,
4.652554500000000,0,,
4.653596000000000,.,,
4.654637541666666,0,,
4.655679041666667,0,,
4.656720583333334,COMMA,,
4.657762083333333,N,,
4.658803625000000,COMMA,,
4.659845125000000,0,,
4.660886625000000,.,,
4.662074833333334,0,,
4.663116375000000,0,,
4.664157875000000,COMMA,,
4.665199416666667,K,,
4.666240916666666,COMMA,,
4.667282416666667,N,,
4.668323958333334,*,,
4.669365458333333,3,,
4.670407000000000,2,,
4.671448500000000,\r,,
4.672490041666666,\n,,
